Unique.ID,sl_micron,mean_age,Cruise,DAY,MONTH,YEAR,HAUL_ID,HAUL_NAME,capdate,hatch.date,hatch.date.noYear,hdate,measured_sl_micron,station
126,9909.8929,26.67,4DY09,1,6,2009,4DY09 81 1 60BON 1,1,6/1/2009,5/5/2009,5-May,125,8977,81
102,12441.1361,44.33,3DY10,27,5,2010,3DY10 84 1 60BON 1,1,5/27/2010,4/12/2010,12-Apr,102,11393,84
103,12735.5398,55.67,3DY10,27,5,2010,3DY10 84 1 60BON 1,1,5/27/2010,4/1/2010,1-Apr,91,11674,84
194,9030.8726,24.5,DY17-05,19,5,2017,DY17-05 85 1 60BON 1,1,5/19/2017,4/24/2017,24-Apr,114,8138,85
195,10617.0904,29.5,DY17-05,19,5,2017,DY17-05 85 1 60BON 1,1,5/19/2017,4/19/2017,19-Apr,109,9652,85
192,12013.6745,41.33,DY17-05,19,5,2017,DY17-05 85 1 60BON 1,1,5/19/2017,4/7/2017,7-Apr,97,10985,85
193,12029.39,34.33,DY17-05,19,5,2017,DY17-05 85 1 60BON 1,1,5/19/2017,4/14/2017,14-Apr,104,11000,85
196,12896.8856,38.5,DY17-05,19,5,2017,DY17-05 85 1 60BON 1,1,5/19/2017,4/10/2017,10-Apr,100,11828,85
24,9883.7004,29.33,DY15-05,23,5,2015,DY15-05 92 1 60BON 1,1,5/23/2015,4/23/2015,23-Apr,113,8952,92
23,9932.9423,24.67,DY15-05,23,5,2015,DY15-05 92 1 60BON 1,1,5/23/2015,4/28/2015,28-Apr,118,8999,92
22,11450.0119,34.67,DY15-05,24,5,2015,DY15-05 98 1 60BON 1,1,5/24/2015,4/19/2015,19-Apr,109,10447,98
206,5963.207,22.5,DY19-05,14,5,2019,DY19-05 106 1 60BON 1,1,5/14/2019,4/21/2019,21-Apr,111,5210,106
21,7354.5526,13.5,DY15-05,24,5,2015,DY15-05 106 2 60BON 1,2,5/24/2015,5/10/2015,10-May,130,6538,106
118,9991.6135,24.33,3DY10,29,5,2010,3DY10 110 1 60BON 1,1,5/29/2010,5/4/2010,4-May,124,9055,110
119,11083.3169,34.67,3DY10,29,5,2010,3DY10 110 1 60BON 1,1,5/29/2010,4/24/2010,24-Apr,114,10097,110
116,12151.9709,41.67,3DY10,29,5,2010,3DY10 110 1 60BON 1,1,5/29/2010,4/17/2010,17-Apr,107,11117,110
117,12181.3065,40.33,3DY10,29,5,2010,3DY10 110 1 60BON 1,1,5/29/2010,4/18/2010,18-Apr,108,11145,110
101,10729.1943,27,3DY10,29,5,2010,3DY10 115 1 60BON 1,1,5/29/2010,5/2/2010,2-May,122,9759,115
42,6074.2632,12,DY13-06,24,5,2013,DY13-06 117 1 60BON 1,1,5/24/2013,5/12/2013,12-May,132,5316,117
43,7698.1982,18.5,DY13-06,24,5,2013,DY13-06 117 1 60BON 1,1,5/24/2013,5/5/2013,5-May,125,6866,117
44,13117.32168,37,DY13-06,24,5,2013,DY13-06 117 1 60BON 1,1,5/24/2013,4/17/2013,17-Apr,107,12038.4,117
39,7432.0824,13.5,DY13-06,24,5,2013,DY13-06 118 1 60BON 1,1,5/24/2013,5/10/2013,10-May,130,6612,118
38,8573.0277,25.67,DY13-06,24,5,2013,DY13-06 118 1 60BON 1,1,5/24/2013,4/28/2013,28-Apr,118,7701,118
36,8979.5353,27.5,DY13-06,24,5,2013,DY13-06 118 1 60BON 1,1,5/24/2013,4/26/2013,26-Apr,116,8089,118
37,9558.9134,29,DY13-06,24,5,2013,DY13-06 118 1 60BON 1,1,5/24/2013,4/25/2013,25-Apr,115,8642,118
40,13069.7561,38.67,DY13-06,24,5,2013,DY13-06 118 1 60BON 1,1,5/24/2013,4/15/2013,15-Apr,105,11993,118
207,13510.8378,40,DY19-05,15,5,2019,DY19-05 120 2 60BON 1,2,5/15/2019,4/5/2019,5-Apr,95,12414,120
212,11749.6541,41.5,DY19-05,15,5,2019,DY19-05 122 2 60BON 1,2,5/15/2019,4/3/2019,3-Apr,93,10733,122
208,11788.419,36,DY19-05,15,5,2019,DY19-05 122 2 60BON 1,2,5/15/2019,4/9/2019,9-Apr,99,10770,122
99,12121.5876,32.5,3DY10,30,5,2010,3DY10 127 1 60BON 1,1,5/30/2010,4/27/2010,27-Apr,117,11088,127
100,12599.3388,31.5,3DY10,30,5,2010,3DY10 127 1 60BON 1,1,5/30/2010,4/28/2010,28-Apr,118,11544,127
209,8429.4928,28,DY19-05,16,5,2019,DY19-05 135 1 60BON 1,1,5/16/2019,4/18/2019,18-Apr,108,7564,135
123,8246.1453,21.33,4DY09,6,6,2009,4DY09 145 1 60BON 1,1,6/6/2009,5/15/2009,15-May,135,7389,145
124,10047.1416,27.33,4DY09,6,6,2009,4DY09 145 1 60BON 1,1,6/6/2009,5/9/2009,9-May,129,9108,145
120,10825.5827,30.67,4DY09,6,6,2009,4DY09 145 1 60BON 1,1,6/6/2009,5/6/2009,6-May,126,9851,145
121,10861.2045,22,4DY09,6,6,2009,4DY09 145 1 60BON 1,1,6/6/2009,5/15/2009,15-May,135,9885,145
122,11485.6337,40.33,4DY09,6,6,2009,4DY09 145 1 60BON 1,1,6/6/2009,4/26/2009,26-Apr,116,10481,145
197,12682.1071,35.5,DY17-05,23,5,2017,DY17-05 150 1 60BON 1,1,5/23/2017,4/17/2017,17-Apr,107,11623,150
210,9768.4534,35.5,DY19-05,17,5,2019,DY19-05 151 1 60BON 1,1,5/17/2019,4/11/2019,11-Apr,101,8842,151
211,8392.8233,24,DY19-05,18,5,2019,DY19-05 167 1 60BON 1,1,5/18/2019,4/24/2019,24-Apr,114,7529,167
198,10940.8297,36,DY17-05,26,5,2017,DY17-05 168 1 60BON 1,1,5/26/2017,4/20/2017,20-Apr,110,9961,168
201,11776.8943,40,DY17-05,26,5,2017,DY17-05 175 1 60BON 1,1,5/26/2017,4/16/2017,16-Apr,106,10759,175
199,11093.7939,31,DY17-05,26,5,2017,DY17-05 182 1 60BON 1,1,5/26/2017,4/25/2017,25-Apr,115,10107,182
200,15548.6143,51.5,DY17-05,26,5,2017,DY17-05 182 1 60BON 1,1,5/26/2017,4/4/2017,4-Apr,94,14359,182
95,6047.023,12.5,1TX11,1,5,2011,NA,NA,5/1/2011,4/18/2011,18-Apr,108,5290,185
96,6189.5102,8.5,1TX11,1,5,2011,NA,NA,5/1/2011,4/22/2011,22-Apr,112,5426,185
20,14706.2635,44,DY15-05,29,5,2015,DY15-05 190 1 60BON 1,1,5/29/2015,4/15/2015,15-Apr,105,13555,190
26,8080.6087,17.5,DY13-06,31,5,2013,DY13-06 199 1 60BON 1,1,5/31/2013,5/13/2013,13-May,133,7231,199
27,8493.4025,19,DY13-06,31,5,2013,DY13-06 199 1 60BON 1,1,5/31/2013,5/12/2013,12-May,132,7625,199
29,8958.5813,28.5,DY13-06,31,5,2013,DY13-06 199 1 60BON 1,1,5/31/2013,5/2/2013,2-May,122,8069,199
30,10454.6969,30,DY13-06,31,5,2013,DY13-06 199 1 60BON 1,1,5/31/2013,5/1/2013,1-May,121,9497,199
28,11302.2862,41.67,DY13-06,31,5,2013,DY13-06 199 1 60BON 1,1,5/31/2013,4/19/2013,19-Apr,109,10306,199
19,11253.0443,34.67,DY15-05,30,5,2015,DY15-05 207 1 60BON 1,1,5/30/2015,4/25/2015,25-Apr,115,10259,207
18,13351.5874,53.33,DY15-05,30,5,2015,DY15-05 207 1 60BON 1,1,5/30/2015,4/6/2015,6-Apr,96,12262,207
17,17175.6924,62,DY15-05,3,6,2015,DY15-05 250 1 60BON 1,1,6/3/2015,4/2/2015,2-Apr,92,15912,250
216,13318.061,48,DY17-05,31,5,2017,DY17-05 251 1 60BON 1,1,5/31/2017,4/13/2017,13-Apr,103,12230,251
218,16756.6124,66.5,DY17-05,31,5,2017,DY17-05 251 1 60BON 1,1,5/31/2017,3/25/2017,25-Mar,84,15512,251
217,20339.7464,83.5,DY17-05,31,5,2017,DY17-05 251 1 60BON 1,1,5/31/2017,3/8/2017,8-Mar,67,18932,251
220,21382.2079,85,DY17-05,31,5,2017,DY17-05 251 1 60BON 1,1,5/31/2017,3/7/2017,7-Mar,66,19927,251
219,21827.4804,85.5,DY17-05,31,5,2017,DY17-05 251 1 60BON 1,1,5/31/2017,3/6/2017,6-Mar,65,20352,251
16,16221.2377,63.67,DY15-05,4,6,2015,DY15-05 270 1 60BON 1,1,6/4/2015,4/1/2015,1-Apr,91,15001,270
94,5949.5869,12,1TX11,1,5,2011,NA,NA,5/1/2011,4/19/2011,19-Apr,109,5197,185
97,6840.1319,13,1TX11,1,5,2011,NA,NA,5/1/2011,4/18/2011,18-Apr,108,6047,185
98,7587.142,12,1TX11,1,5,2011,NA,NA,5/1/2011,4/19/2011,19-Apr,109,6760,185
