Unique.ID,dayoflife,oto_inc_micron,sl_micron,capdate,Date,hatch.date,hatch.date.noYear,hdate,YEAR,age,yr_f,doy,TempApplied,hw,cum_OR,OR_cpt,sl_mm,BC_estimate,daily_gr
1,36,1.772,11880.6166,5/23/2006,5/13/2006,4/7/2006,7-Apr,97,2006,45.67,2006,133,5.216643384,before HW,56.817,80.946,11.8806166,9.230958186,0.179044063
1,37,1.798,11880.6166,5/23/2006,5/14/2006,4/7/2006,7-Apr,97,2006,45.67,2006,134,5.302074937,before HW,58.615,80.946,11.8806166,9.42840051,0.18167112
1,38,2.648,11880.6166,5/23/2006,5/15/2006,4/7/2006,7-Apr,97,2006,45.67,2006,135,5.396390476,before HW,61.263,80.946,11.8806166,9.719183198,0.267555688
1,39,2.331,11880.6166,5/23/2006,5/16/2006,4/7/2006,7-Apr,97,2006,45.67,2006,136,5.5,before HW,63.594,80.946,11.8806166,9.975155421,0.235525796
1,4,0.868,11880.6166,5/23/2006,4/11/2006,4/7/2006,7-Apr,97,2006,45.67,2006,101,5.068174247,before HW,11.966,80.946,11.8806166,4.305771501,0.087703299
1,40,2.313,11880.6166,5/23/2006,5/17/2006,4/7/2006,7-Apr,97,2006,45.67,2006,137,5.613139004,before HW,65.907,80.946,11.8806166,10.22915102,0.233707064
1,41,1.444,11880.6166,5/23/2006,5/18/2006,4/7/2006,7-Apr,97,2006,45.67,2006,138,5.735344964,before HW,67.351,80.946,11.8806166,10.38771983,0.145902724
1,42,1.972,11880.6166,5/23/2006,5/19/2006,4/7/2006,7-Apr,97,2006,45.67,2006,139,5.865980851,before HW,69.323,80.946,11.8806166,10.60426948,0.199252196
1,43,2.057,11880.6166,5/23/2006,5/20/2006,4/7/2006,7-Apr,97,2006,45.67,2006,140,6.004409636,before HW,71.38,80.946,11.8806166,10.83015316,0.207840653
1,44,1.806,11880.6166,5/23/2006,5/21/2006,4/7/2006,7-Apr,97,2006,45.67,2006,141,6.149994292,before HW,73.186,80.946,11.8806166,11.02847398,0.182479446
1,45,1.802,11880.6166,5/23/2006,5/22/2006,4/7/2006,7-Apr,97,2006,45.67,2006,142,6.302097789,before HW,74.988,80.946,11.8806166,11.22635555,0.182075283
1,46,1.555,11880.6166,5/23/2006,5/23/2006,4/7/2006,7-Apr,97,2006,45.67,2006,143,6.460083099,before HW,76.543,80.946,11.8806166,11.39711351,0.157118238
1,47,1.62,11880.6166,5/23/2006,5/24/2006,4/7/2006,7-Apr,97,2006,45.67,2006,144,6.623313193,before HW,78.163,80.946,11.8806166,11.57500927,0.163685881
1,48,1.675,11880.6166,5/23/2006,5/25/2006,4/7/2006,7-Apr,97,2006,45.67,2006,145,6.791151043,before HW,79.838,80.946,11.8806166,11.75894469,0.169243118
1,49,1.108,11880.6166,5/23/2006,5/26/2006,4/7/2006,7-Apr,97,2006,45.67,2006,146,6.96295962,before HW,80.946,80.946,11.8806166,11.8806166,0.11195306
1,5,1.081,11880.6166,5/23/2006,4/12/2006,4/7/2006,7-Apr,97,2006,45.67,2006,102,5.077470063,before HW,13.047,80.946,11.8806166,4.424478482,0.109224962
1,6,1.389,11880.6166,5/23/2006,4/13/2006,4/7/2006,7-Apr,97,2006,45.67,2006,103,4.753779361,before HW,14.436,80.946,11.8806166,4.577007619,0.140345487
1,7,1.562,11880.6166,5/23/2006,4/14/2006,4/7/2006,7-Apr,97,2006,45.67,2006,104,4.761492772,before HW,15.998,80.946,11.8806166,4.748534265,0.157825523
1,8,1.576,11880.6166,5/23/2006,4/15/2006,4/7/2006,7-Apr,97,2006,45.67,2006,105,4.766957545,before HW,17.574,80.946,11.8806166,4.921598281,0.159240092
1,9,1.358,11880.6166,5/23/2006,4/16/2006,4/7/2006,7-Apr,97,2006,45.67,2006,106,4.77,before HW,18.932,80.946,11.8806166,5.07072324,0.137213226
10,1,1.163,9716.0684,5/22/2006,4/30/2006,4/29/2006,29-Apr,119,2006,23,2006,120,5.318620131,before HW,9.063,43.586,9.7160684,4.028893436,0.169990684
10,10,1.477,9716.0684,5/22/2006,5/9/2006,4/29/2006,29-Apr,119,2006,23,2006,129,4.955557038,before HW,23.527,43.586,9.7160684,6.411632441,0.215886707
